,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS1,CFID,CFPARAMS
380,203544,Pero Antic,1610612737,ATL,32.0,63,46,17,0.73,1037.2133333333334,44,68,9,86,329,264,236,808,14,16,132,123,703.3,220,68,131,34,271,302,186,389,314,217,213,190,204,232,214,310,160,297,5,"203544,1610612737"
381,203103,Perry Jones III,1610612760,OKC,23.0,43,23,20,0.535,631.1616666666666,33,22,27,96,233,193,179,562,8,10,50,35,353.2,330,265,158,204,343,341,350,290,301,157,163,157,155,315,155,130,348,364,5,"203103,1610612760"
382,203515,Phil Pressey,1610612738,BOS,24.0,50,22,28,0.44,600.1483333333333,23,9,33,76,194,195,130,536,6,16,54,56,515.5,300,275,261,308,349,368,408,266,327,135,165,127,149,339,214,140,294,326,5,"203515,1610612738"
383,203112,Quincy Acy,1610612752,NYK,24.0,68,12,56,0.176,1287.0816666666667,64,63,41,166,473,317,299,1032,22,10,147,108,948.2,172,371,479,466,226,245,203,240,236,291,247,249,256,154,155,361,187,237,5,"203112,1610612752"
384,203113,Quincy Miller,1610612765,DET,22.0,10,2,8,0.2,119.73166666666667,5,5,0,8,32,25,42,80,5,5,9,7,96.0,453,463,59,456,439,442,432,465,449,43,46,61,43,353,100,37,438,437,5,"203113,1610612765"
385,202347,Quincy Pondexter,1610612740,NOP,27.0,75,48,27,0.64,1793.4766666666667,83,54,84,158,565,470,542,1720,24,25,150,89,991.0,100,53,249,104,139,202,230,145,242,337,349,395,375,145,283,372,219,228,5,"202347,1610612740"
386,200765,Rajon Rondo,1610612742,DAL,29.0,68,34,34,0.5,2018.8216666666667,93,60,107,340,762,576,619,1860,7,34,153,112,1946.6,172,177,345,227,104,181,216,100,107,427,408,432,406,325,362,378,181,72,5,"200765,1610612742"
387,201196,Ramon Sessions,1610612764,WAS,29.0,64,26,38,0.406,1188.0733333333333,45,25,87,178,453,320,305,1028,0,22,73,135,848.8,212,236,377,329,248,295,339,138,225,281,249,250,255,442,264,188,138,259,5,"201196,1610612764"
388,200751,Randy Foye,1610612743,DEN,31.0,50,15,35,0.3,1086.48,78,25,68,72,364,302,266,944,11,17,97,50,790.5,300,341,355,410,265,213,339,175,333,238,237,220,236,270,226,236,310,276,5,"200751,1610612743"
389,2446,Rasual Butler,1610612764,WAS,36.0,75,39,36,0.52,1504.6316666666667,63,74,81,130,516,429,388,1238,22,12,98,51,1015.9,100,115,361,217,186,246,167,148,270,313,313,295,294,154,178,238,304,223,5,"2446,1610612764"
